api,4301350440,,,,
well_name,Greater Monument Butte 3-2-9-16H,,,,
surface_latitude,40.064567,,,,
surface_longitude,110.089758,,,,
north_ref,t,,,,
surface_elevation,5496,,,,
measured_depth,inclination,azimuth,,,
3278.00,0.66,283.14,,,
3324.00,0.66,282.34,,,
3369.00,0.62,280.85,,,
3414.00,0.66,270.13,,,
3460.00,0.79,276.54,,,
3505.00,0.75,269.91,,,
3550.00,0.88,265.65,,,
3596.00,1.05,259.89,,,
3641.00,0.92,263.98,,,
3686.00,0.79,271.75,,,
3732.00,0.31,343.47,,,
3777.00,0.44,358.33,,,
3822.00,0.44,30.10,,,
3868.00,0.48,39.77,,,
3913.00,0.28,33.05,,,
3958.00,0.18,348.39,,,
4004.00,0.13,52.16,,,
4049.00,0.92,90.04,,,
4094.00,0.88,85.51,,,
4139.00,0.75,94.26,,,
4185.00,0.66,102.96,,,
4230.00,0.75,112.06,,,
4275.00,0.53,107.27,,,
4321.00,0.57,106.26,,,
4366.00,0.55,130.03,,,
4411.00,0.70,154.24,,,
4456.00,0.70,180.17,,,
4502.00,0.88,175.95,,,
4547.00,0.97,185.97,,,
4592.00,1.05,184.39,,,
4638.00,1.10,186.85,,,
4683.00,1.23,192.78,,,
4728.00,1.32,194.32,,,
4774.00,1.41,192.83,,,
4819.00,1.41,192.96,,,
4864.00,1.39,196.37,,,
4910.00,1.58,203.29,,,
4955.00,1.41,206.19,,,
5000.00,1.71,207.46,,,
5046.00,1.72,210.45,,,
5137.00,1.63,216.00,,,
5182.00,1.58,214.41,,,
5227.00,1.32,225.35,,,
5273.00,0.92,237.26,,,
5318.00,0.83,257.91,,,
5409.00,0.31,323.71,,,
5448.00,0.62,308.67,,,
5487.00,0.44,283.53,,,
5518.00,1.58,178.68,,,
5578.00,9.58,180.04,,,
5759.00,25.71,186.10,,,
5940.00,39.20,194.41,,,
5971.00,41.62,195.33,,,
6001.00,44.21,194.10,,,
6031.00,44.47,195.33,,,
6062.00,45.13,196.08,,,
6092.00,48.21,200.25,,,
6122.00,51.68,202.58,,,
6152.00,52.76,204.12,,,
6182.00,51.88,208.34,,,
6243.00,57.68,213.17,,,
6273.00,61.20,215.64,,,
6303.00,67.27,216.25,,,
6333.00,73.16,216.43,,,
6364.00,76.94,216.16,,,
6394.00,81.51,214.41,,,
6424.00,85.30,214.32,,,
6455.00,90.66,213.35,,,
6506.00,90.92,212.82,,,
6552.00,91.98,210.80,,,
6597.00,93.39,210.36,,,
6642.00,93.39,209.31,,,
6778.00,96.11,205.70,,,
6824.00,95.58,204.21,,,
6869.00,94.88,202.89,,,
6914.00,94.62,201.66,,,
6960.00,92.86,200.78,,,
7005.00,90.92,200.17,,,
7051.00,91.98,199.64,,,
